divison,lane,champion,tier,win_rate,pick_rate,ban_rate,counters,matches
Platinum,Top,Akali,D,46.03%,1.4%,8.7%,"Tryndamere,Gragas,Zac,Chogath,Vayne,Maokai,Karma","1,197"
Platinum,Mid,Lucian,D,45.82%,4.2%,4.7%,"Cassiopeia,Velkoz,Rumble,Malphite,Pyke,Diana,Akali","3,601"
Platinum,Top,Jayce,D,45.68%,3.3%,1.1%,"Rumble,Yorick,Kennen,Quinn,Singed,Ornn,Rengar","2,822"
Platinum,Mid,Syndra,D,45.66%,3.4%,0.7%,"Xerath,Irelia,Malzahar,Velkoz,Veigar,Rumble,Galio","2,928"
Platinum,Supp,Sett,D,45.31%,3.1%,2.3%,"Brand,Alistar,Blitzcrank,Shaco,Lulu,Velkoz,Zilean","2,668"
Platinum,Top,Dr. Mundo,C,45.06%,1.1%,1.5%,"Yorick,Lulu,Rengar,Kayle,Viego,Yone,Vladimir",981
Platinum,Mid,Akali,D,44.97%,2.6%,8.7%,"Pantheon,Twistedfate,Veigar,Diana,Kassadin,Lux,Galio","2,237"
Platinum,Jungle,Pantheon,D,44.52%,3.0%,32.2%,"Evelynn,Hecarim,Fiddlesticks,Reksai,Drmundo,Skarner,Kindred","2,617"
Platinum,Mid,Karma,B,43.96%,0.5%,0.4%,"Corki,Neeko,Viego,Lissandra,Cassiopeia,Karthus,Azir",439
Platinum,Mid,Ryze,D,43.53%,1.9%,0.2%,"Jayce,Cassiopeia,Morgana,Pantheon,Zoe,Seraphine,Galio","1,647"
Diamond,Adc,Seraphine,S,63.18%,1.1%,19.1%,"Twitch,Kalista,Sivir,Tristana,Karthus,Xayah,Kaisa",220
Diamond,Top,Ryze,A,59.54%,0.7%,0.1%,"Tryndamere,Garen,Quinn,Volibear,Urgot,Jayce,Neeko",131
Diamond,Jungle,Rammus,S,55.95%,2.1%,2.8%,"Warwick,Udyr,Fiddlesticks,Zac,Kindred,Rengar,Elise",395
Diamond,Mid,Malphite,A,55.91%,0.7%,17.0%,"Varus,Viktor,Karthus,Malzahar,Quinn,Cassiopeia,Nasus",127
Diamond,Mid,Heimerdinger,A,55.77%,0.5%,1.0%,"Zoe,Kassadin,Qiyana,Diana,Azir,Seraphine,Karma",104
Diamond,Top,Lulu,A,55.65%,0.6%,11.3%,"Lissandra,Viktor,Karthus,Singed,Heimerdinger,Volibear,Olaf",124
Diamond,Jungle,Udyr,S+,55.57%,10.6%,20.4%,"Gragas,Ekko,Drmundo,Ivern,Nocturne,Warwick,Skarner","2,039"
Diamond,Jungle,Karthus,S+,55.22%,6.3%,8.0%,"Sejuani,Skarner,Kayn,Xinzhao,Shaco,Taliyah,Masteryi","1,217"
Diamond,Mid,Pyke,A,55.17%,1.1%,2.9%,"Ekko,Galio,Qiyana,Zoe,Kassadin,Vladimir,Yone",203
Diamond,Supp,Sona,A,55.00%,1.5%,0.0%,"Maokai,Leblanc,Taric,Shaco,Seraphine,Nami,Lux",280
Diamond,Top,Warwick,A,54.93%,0.7%,0.2%,"Twistedfate,Janna,Heimerdinger,Mordekaiser,Kennen,Vladimir,Teemo",142
Diamond,Mid,Anivia,S+,54.52%,6.2%,21.1%,"Azir,Aurelionsol,Annie,Ryze,Velkoz,Xerath,Diana","1,194"
Diamond,Adc,Kalista,A,54.50%,1.9%,0.2%,"Swain,Xayah,Ashe,Sivir,Twitch,Lucian,Senna",367
Diamond,Jungle,Poppy,A,54.49%,0.9%,1.3%,"Xinzhao,Nocturne,Olaf,Taliyah,Lillia,Evelynn,Karthus",178
Diamond,Top,Poppy,S,54.46%,2.9%,1.3%,"Singed,Karma,Kayle,Kled,Volibear,Rumble,Gangplank",549
